iter	Logloss
0	0.6718706489
1	0.6526898146
2	0.6457324624
3	0.6315561533
4	0.6110439301
5	0.608407855
6	0.5996506214
7	0.5931927562
8	0.5850281119
9	0.5759756565
10	0.5633587837
11	0.5587909818
12	0.5542351007
13	0.5446460247
14	0.5443592072
15	0.5371085405
16	0.5341620445
17	0.5318301916
18	0.5299226642
19	0.5184458494
20	0.5149748921
21	0.511408329
22	0.5068773031
23	0.5036402345
24	0.4965729117
25	0.4943743348
26	0.4913751185
27	0.4881671071
28	0.4881022274
29	0.4821371436
30	0.4782407284
31	0.4741855264
32	0.4721008539
33	0.4692687392
34	0.4652339816
35	0.4616760314
36	0.45896402
37	0.4573892951
38	0.453502506
39	0.4521380663
40	0.4476621747
41	0.4464247823
42	0.4416275918
43	0.4384672344
44	0.4361072779
45	0.4326954782
46	0.4316320419
47	0.4296534956
48	0.4286664724
49	0.4258842468
50	0.4218235612
51	0.4203647673
52	0.4175262451
53	0.4126014113
54	0.4120889306
55	0.4096030593
56	0.4071868956
57	0.4044730961
58	0.40189749
59	0.3996337652
60	0.3955281377
61	0.392157197
62	0.3878167272
63	0.3853707016
64	0.3842284977
65	0.3811843395
66	0.3783010244
67	0.375094533
68	0.3736703694
69	0.370634526
70	0.367605865
71	0.3657655716
72	0.3640577197
73	0.3620691597
74	0.3601998091
75	0.3586383462
76	0.357021451
77	0.3552603126
78	0.3524538875
79	0.3516325057
80	0.3492324352
81	0.3483381867
82	0.3470905423
83	0.3457302451
84	0.3442402482
85	0.3429274857
86	0.342084825
87	0.3408656716
88	0.3399018347
89	0.3382084966
90	0.3366914988
91	0.3349219561
92	0.3335827589
93	0.3323633075
94	0.3320665359
95	0.3313113153
96	0.3296733499
97	0.3285622001
98	0.3276028037
99	0.3265599012
100	0.3255319297
101	0.3245456815
102	0.3242306411
103	0.3233784139
104	0.3219251335
105	0.3213785291
106	0.3209041953
107	0.3196952939
108	0.3188468218
109	0.3177986741
110	0.3170234561
111	0.3154768348
112	0.3144129813
113	0.3136883378
114	0.3129900396
115	0.3122534156
116	0.3112988472
117	0.3108736873
118	0.3098920882
119	0.3094081283
120	0.3087342381
121	0.307927072
122	0.3070743084
123	0.3064248264
124	0.3057602048
125	0.3048816323
126	0.3037937284
127	0.3030959368
128	0.3028210402
129	0.3021917939
130	0.3020038009
131	0.3010824323
132	0.3007912934
133	0.3003810644
134	0.2998980284
135	0.2993913591
136	0.2990167141
137	0.2987803817
138	0.2982912362
139	0.2981340587
140	0.297927618
141	0.2977432907
142	0.2968992591
143	0.2963618934
144	0.2955521047
145	0.2952885032
146	0.2950312495
147	0.2944965065
148	0.2937925756
149	0.2932906151
150	0.2928302288
151	0.2926305234
152	0.2923644185
153	0.2919241488
154	0.2915144563
155	0.2910977006
156	0.2905939817
157	0.2904530764
158	0.2902141809
159	0.2897658646
160	0.2893486619
161	0.2888436317
162	0.2886646688
163	0.2882508039
164	0.287786752
165	0.2873699665
166	0.2867349982
167	0.2863363624
168	0.2860414386
169	0.2858986259
170	0.285535574
171	0.284991622
172	0.2846907973
173	0.2844242752
174	0.2842546105
175	0.2840583026
176	0.2835817635
177	0.2833392024
178	0.2830269337
179	0.2825267613
180	0.2822982669
181	0.2821033001
182	0.2816970944
183	0.2815002799
184	0.2812734842
185	0.2810748816
186	0.280972898
187	0.2805390358
188	0.2803387642
189	0.2801279426
190	0.2800241709
191	0.279758811
192	0.279518187
193	0.2791910768
194	0.2789134085
195	0.278763175
196	0.278411895
197	0.2781813145
198	0.2780950367
199	0.2776915133
