iter	Passed	Remaining
0	2	422
1	4	410
2	6	425
3	7	389
4	9	365
5	10	345
6	11	330
7	13	318
8	14	307
9	16	307
10	17	302
11	19	303
12	20	301
13	22	297
14	23	289
15	25	289
16	26	288
17	28	285
18	29	284
19	31	283
20	33	284
21	35	283
22	36	283
23	38	285
24	40	285
25	42	282
26	43	280
27	45	280
28	46	276
29	48	274
30	50	272
31	51	271
32	53	269
33	54	266
34	55	263
35	58	267
36	60	265
37	61	262
38	62	259
39	64	257
40	66	256
41	67	254
42	69	252
43	70	249
44	71	247
45	73	244
46	74	242
47	76	240
48	77	238
49	78	236
50	80	234
51	82	234
52	84	235
53	86	233
54	88	232
55	89	230
56	91	229
57	93	227
58	94	226
59	96	225
60	98	224
61	99	222
62	101	221
63	103	219
64	105	218
65	106	216
66	108	216
67	110	214
68	112	213
69	114	212
70	116	210
71	117	209
72	119	208
73	121	207
74	123	205
75	124	203
76	126	201
77	127	199
78	129	197
79	130	195
80	132	194
81	134	193
82	135	191
83	137	189
84	139	188
85	141	186
86	142	185
87	144	184
88	146	182
89	148	181
90	149	179
91	151	177
92	153	176
93	154	174
94	156	172
95	158	171
96	161	170
97	162	169
98	164	167
99	165	165
100	167	164
101	169	162
102	171	161
103	173	160
104	175	158
105	176	156
106	178	155
107	180	153
108	182	152
109	183	150
110	185	148
111	186	146
112	188	145
113	190	144
114	192	142
115	194	140
116	195	138
117	197	136
118	198	135
119	199	133
120	201	131
121	202	129
122	204	127
123	206	126
124	207	124
125	208	122
126	210	120
127	212	119
128	214	117
129	215	116
130	217	114
131	219	112
132	220	111
133	222	109
134	223	107
135	225	106
136	226	104
137	228	102
138	229	100
139	231	99
140	232	97
141	234	95
142	235	93
143	238	92
144	239	90
145	241	89
146	243	87
147	244	85
148	245	84
149	247	82
150	248	80
151	250	79
152	251	77
153	252	75
154	254	73
155	255	72
156	258	70
157	259	69
158	261	67
159	263	65
160	264	64
161	266	62
162	267	60
163	270	59
164	271	57
165	273	56
166	274	54
167	276	52
168	278	51
169	279	49
170	281	47
171	282	46
172	284	44
173	286	42
174	287	41
175	289	39
176	290	37
177	292	36
178	293	34
179	295	32
180	297	31
181	298	29
182	300	27
183	302	26
184	303	24
185	305	23
186	307	21
187	308	19
188	310	18
189	311	16
190	312	14
191	315	13
192	317	11
193	318	9
194	320	8
195	321	6
196	322	4
197	324	3
198	325	1
199	327	0
